nama_variabel,jenis_kelamin,tahun,persen,provinsi
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,1.09,BANTEN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,2.43,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,8.05,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,4.69,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,3.8,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,0.69,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,0.88,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,0.65,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,2.68,KALIMANTAN UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,0.19,SULAWESI UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,1.19,SULAWESI TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,5.54,SULAWESI SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,2.88,SULAWESI TENGGARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,1.23,GORONTALO
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,4.5,SULAWESI BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,0.55,MALUKU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,0.63,MALUKU UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,1.44,PAPUA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,17.74,PAPUA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2021,2.38,INDONESIA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,2.21,ACEH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.1,SUMATERA UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.01,SUMATERA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,1.04,RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2020,2.26,JAMBI
