nama_variabel,jenis_kelamin,tahun,persen,provinsi
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2018,5.42448999974427,INDONESIA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.941829583774674,ACEH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.454263107525553,SUMATERA UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.622459370147847,SUMATERA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.394319531097223,RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.845337826788174,JAMBI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.637236679908511,SUMATERA SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.979721523958892,BENGKULU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,1.51946338937136,LAMPUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,1.35184845361859,KEP. BANGKA BELITUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.657105603818309,KEP. RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.098085997757357,DKI JAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.794249869588579,JAWA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,3.35101704943546,JAWA TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,2.67347276948547,DI YOGYAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,4.56332155086893,JAWA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,1.10581238004607,BANTEN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,3.22993287721567,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,7.15674314268384,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,5.76208370097373,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,3.97378065072089,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.559692862651866,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.798243532303469,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.637040769075929,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,3.58226788573301,KALIMANTAN UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.217371382902731,SULAWESI UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,1.47295404533921,SULAWESI TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,5.72108621663515,SULAWESI SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,3.17863571012283,SULAWESI TENGGARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,1.48361517884639,GORONTALO
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,5.12778343713673,SULAWESI BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.633965451418583,MALUKU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,0.670341100571298,MALUKU UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,1.69982623997319,PAPUA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,17.5356668000148,PAPUA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2018,2.44274983218568,INDONESIA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,2.77991225640826,ACEH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,1.53102627240876,SUMATERA UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,1.58303566009877,SUMATERA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,1.09599911185082,RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,2.49524837191211,JAMBI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,2.03584640922335,SUMATERA SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,3.0023267862443,BENGKULU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,4.11607764969833,LAMPUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,3.0274583240248,KEP. BANGKA BELITUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,1.53323465762098,KEP. RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,0.393128113687514,DKI JAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,2.33398863032627,JAWA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,8.65648972196531,JAWA TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,7.31785324431505,DI YOGYAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,10.2466340861845,JAWA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,3.31617953490532,BANTEN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,9.60962922923022,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,14.699781214313,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,8.58266724140657,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,9.35105688181981,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,1.341491380071,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,2.24619210585994,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,1.45609734664479,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,5.37030772281605,KALIMANTAN UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,0.255074097484086,SULAWESI UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,2.68691281033051,SULAWESI TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,8.89182807074817,SULAWESI SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,6.74436410858202,SULAWESI TENGGARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,1.38991892994638,GORONTALO
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,7.25901507315222,SULAWESI BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,1.08424541517071,MALUKU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,1.69219634841503,MALUKU UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,3.57736217225459,PAPUA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,29.2830293067235,PAPUA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2017,5.63536112729695,INDONESIA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.90558615185281,ACEH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.543836376342941,SUMATERA UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.546460147758903,SUMATERA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.495926039410319,RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.968756381885528,JAMBI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.6813522298898,SUMATERA SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.952542041691698,BENGKULU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,1.53558467004368,LAMPUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,1.10638215924867,KEP. BANGKA BELITUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.718050536827814,KEP. RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.239699877225618,DKI JAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.923770069612553,JAWA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,3.27655017688365,JAWA TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,2.43532070848187,DI YOGYAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,4.58913919951164,JAWA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,1.13855797901646,BANTEN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,3.23751178787185,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,7.94790275613193,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,5.87045918559494,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,4.24206521665233,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.543888560577483,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.730767014543223,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.515218095197848,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,3.50388409931728,KALIMANTAN UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.28872428111871,SULAWESI UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,1.66639333508805,SULAWESI TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,5.93690117273985,SULAWESI SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,3.13575551231016,SULAWESI TENGGARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,1.66214379480908,GORONTALO
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,5.31729720505232,SULAWESI BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.540993515015279,MALUKU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,0.756783351708347,MALUKU UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,1.77640025638668,PAPUA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,19.663601056249,PAPUA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2017,2.53363059832098,INDONESIA
