nama_variabel,tahun,persen,provinsi
Sumbangan Pendapatan Perempuan,2019,28.61,KEP. RIAU
Sumbangan Pendapatan Perempuan,2019,37.94,DKI JAKARTA
Sumbangan Pendapatan Perempuan,2019,29.94,JAWA BARAT
Sumbangan Pendapatan Perempuan,2019,34.31,JAWA TENGAH
Sumbangan Pendapatan Perempuan,2019,40.85,DI YOGYAKARTA
Sumbangan Pendapatan Perempuan,2019,35.68,JAWA TIMUR
Sumbangan Pendapatan Perempuan,2019,31.62,BANTEN
Sumbangan Pendapatan Perempuan,2019,38.61,BALI
Sumbangan Pendapatan Perempuan,2019,32.91,NUSA TENGGARA BARAT
Sumbangan Pendapatan Perempuan,2019,43.33,NUSA TENGGARA TIMUR
Sumbangan Pendapatan Perempuan,2019,35.06,KALIMANTAN BARAT
Sumbangan Pendapatan Perempuan,2019,33.4,KALIMANTAN TENGAH
Sumbangan Pendapatan Perempuan,2019,36.34,KALIMANTAN SELATAN
Sumbangan Pendapatan Perempuan,2019,24.06,KALIMANTAN TIMUR
Sumbangan Pendapatan Perempuan,2019,26.33,KALIMANTAN UTARA
Sumbangan Pendapatan Perempuan,2019,32.39,SULAWESI UTARA
Sumbangan Pendapatan Perempuan,2019,30.87,SULAWESI TENGAH
Sumbangan Pendapatan Perempuan,2019,32.44,SULAWESI SELATAN
Sumbangan Pendapatan Perempuan,2019,36.1,SULAWESI TENGGARA
Sumbangan Pendapatan Perempuan,2019,26.93,GORONTALO
Sumbangan Pendapatan Perempuan,2019,36.32,SULAWESI BARAT
Sumbangan Pendapatan Perempuan,2019,37.15,MALUKU
Sumbangan Pendapatan Perempuan,2019,36.49,MALUKU UTARA
Sumbangan Pendapatan Perempuan,2019,27.65,PAPUA BARAT
Sumbangan Pendapatan Perempuan,2019,36.63,PAPUA
Sumbangan Pendapatan Perempuan,2019,37.1,INDONESIA
Sumbangan Pendapatan Perempuan,2018,34.5677505831686,ACEH
Sumbangan Pendapatan Perempuan,2018,36.0315061378669,SUMATERA UTARA
Sumbangan Pendapatan Perempuan,2018,37.4805475146407,SUMATERA BARAT
Sumbangan Pendapatan Perempuan,2018,28.1390205475792,RIAU
Sumbangan Pendapatan Perempuan,2018,30.0904296921812,JAMBI
Sumbangan Pendapatan Perempuan,2018,34.7087933813988,SUMATERA SELATAN
Sumbangan Pendapatan Perempuan,2018,35.2384910992444,BENGKULU
Sumbangan Pendapatan Perempuan,2018,29.3313029399062,LAMPUNG
Sumbangan Pendapatan Perempuan,2018,26.3776994750249,KEP. BANGKA BELITUNG
Sumbangan Pendapatan Perempuan,2018,28.3730335978451,KEP. RIAU
Sumbangan Pendapatan Perempuan,2018,37.8021871127581,DKI JAKARTA
Sumbangan Pendapatan Perempuan,2018,29.5059773400209,JAWA BARAT
Sumbangan Pendapatan Perempuan,2018,34.2844301845473,JAWA TENGAH
Sumbangan Pendapatan Perempuan,2018,40.7849894700487,DI YOGYAKARTA
Sumbangan Pendapatan Perempuan,2018,35.6421116368033,JAWA TIMUR
Sumbangan Pendapatan Perempuan,2018,31.2866038585319,BANTEN
Sumbangan Pendapatan Perempuan,2018,37.8679863714958,BALI
Sumbangan Pendapatan Perempuan,2018,32.8129293452631,NUSA TENGGARA BARAT
Sumbangan Pendapatan Perempuan,2018,43.2649905160181,NUSA TENGGARA TIMUR
Sumbangan Pendapatan Perempuan,2018,35.0013716968498,KALIMANTAN BARAT
Sumbangan Pendapatan Perempuan,2018,33.3938079024324,KALIMANTAN TENGAH
Sumbangan Pendapatan Perempuan,2018,36.2704707228841,KALIMANTAN SELATAN
Sumbangan Pendapatan Perempuan,2018,23.6372488626719,KALIMANTAN TIMUR
Sumbangan Pendapatan Perempuan,2018,26.1619461900149,KALIMANTAN UTARA
Sumbangan Pendapatan Perempuan,2018,32.3524041733814,SULAWESI UTARA
Sumbangan Pendapatan Perempuan,2018,30.3968870258553,SULAWESI TENGAH
Sumbangan Pendapatan Perempuan,2018,31.8290997896292,SULAWESI SELATAN
Sumbangan Pendapatan Perempuan,2018,36.0414412373268,SULAWESI TENGGARA
Sumbangan Pendapatan Perempuan,2018,26.4479288377555,GORONTALO
Sumbangan Pendapatan Perempuan,2018,36.2591412239376,SULAWESI BARAT
